Product,Period,Value
75,1,8656.0
75,2,10204.0
75,3,9038.0
75,4,8164.0
75,5,8674.0
75,6,10087.0
75,7,9094.0
75,8,8036.0
75,9,8789.0
75,10,10336.0
75,11,8950.0
75,12,8084.0
75,13,8837.0
75,14,10324.0
75,15,9081.0
75,16,8271.0
75,17,8689.0
75,18,10311.0
75,19,9085.0
75,20,8128.0
75,21,8583.0
75,22,10107.0
75,23,8927.0
75,24,8049.0
75,25,8715.0
75,26,10270.0
75,27,9214.0
75,28,7979.0
75,29,8622.0
75,30,10231.0
75,31,9176.0
75,32,7977.0
75,33,8569.0
75,34,10237.0
75,35,9081.0
75,36,8047.0
75,37,8539.0
75,38,10116.0
75,39,9137.0
75,40,7875.0
