Product,Period,Value
98,1,19232.0
98,2,18930.0
98,3,18823.0
98,4,18868.0
98,5,18782.0
98,6,18685.0
98,7,18745.0
98,8,18406.0
98,9,18184.0
98,10,18298.0
98,11,18286.0
98,12,18083.0
98,13,18084.0
98,14,17919.0
98,15,18050.0
98,16,17912.0
98,17,17693.0
98,18,17738.0
98,19,17471.0
98,20,17256.0
98,21,17512.0
98,22,17308.0
98,23,17257.0
98,24,17180.0
98,25,17039.0
98,26,16971.0
98,27,16751.0
98,28,16697.0
98,29,16607.0
98,30,16621.0
98,31,16307.0
98,32,16368.0
98,33,16309.0
98,34,16183.0
98,35,16013.0
98,36,15975.0
98,37,15895.0
98,38,15774.0
98,39,15871.0
98,40,15572.0
