Product,Period,Value
18,1,17079.0
18,2,17311.0
18,3,18590.0
18,4,19775.0
18,5,17048.0
18,6,17243.0
18,7,18634.0
18,8,19610.0
18,9,17117.0
18,10,17373.0
18,11,18522.0
18,12,19478.0
18,13,17051.0
18,14,17345.0
18,15,18629.0
18,16,19729.0
18,17,16963.0
18,18,17375.0
18,19,18508.0
18,20,19626.0
18,21,17031.0
18,22,17140.0
18,23,18625.0
18,24,19569.0
18,25,17108.0
18,26,17261.0
18,27,18758.0
18,28,19529.0
18,29,16842.0
18,30,17236.0
18,31,18522.0
18,32,19573.0
18,33,16922.0
18,34,17383.0
18,35,18487.0
18,36,19433.0
18,37,16997.0
18,38,17241.0
18,39,18467.0
18,40,19409.0
