Product,Period,Value
21,1,19098.0
21,2,19303.0
21,3,19088.0
21,4,19177.0
21,5,19357.0
21,6,19430.0
21,7,19345.0
21,8,19162.0
21,9,19494.0
21,10,19482.0
21,11,19456.0
21,12,19631.0
21,13,19734.0
21,14,19384.0
21,15,19706.0
21,16,19581.0
21,17,19635.0
21,18,19847.0
21,19,19739.0
21,20,19771.0
21,21,19790.0
21,22,19923.0
21,23,19934.0
21,24,19691.0
21,25,20071.0
21,26,20067.0
21,27,19926.0
21,28,20043.0
21,29,19656.0
21,30,20153.0
21,31,20227.0
21,32,20128.0
21,33,20170.0
21,34,20193.0
21,35,20169.0
21,36,20205.0
21,37,20065.0
21,38,20252.0
21,39,20086.0
21,40,20215.0
