Product,Period,Value
83,1,8445.0
83,2,8751.0
83,3,8428.0
83,4,8658.0
83,5,8565.0
83,6,8616.0
83,7,8619.0
83,8,8492.0
83,9,8642.0
83,10,8504.0
83,11,8408.0
83,12,8568.0
83,13,8437.0
83,14,8388.0
83,15,8610.0
83,16,8483.0
83,17,8371.0
83,18,8421.0
83,19,8441.0
83,20,8318.0
83,21,8558.0
83,22,8536.0
83,23,8472.0
83,24,8487.0
83,25,8633.0
83,26,8518.0
83,27,8486.0
83,28,8485.0
83,29,8419.0
83,30,8542.0
83,31,8553.0
83,32,8396.0
83,33,8592.0
83,34,8684.0
83,35,8505.0
83,36,8424.0
83,37,8301.0
83,38,8613.0
83,39,8490.0
83,40,8301.0
