Product,Period,Value
45,1,17804.0
45,2,17720.0
45,3,18362.0
45,4,18236.0
45,5,17485.0
45,6,17778.0
45,7,18475.0
45,8,18154.0
45,9,17425.0
45,10,17636.0
45,11,18336.0
45,12,18104.0
45,13,17301.0
45,14,17615.0
45,15,17938.0
45,16,17687.0
45,17,17487.0
45,18,17568.0
45,19,17930.0
45,20,17581.0
45,21,17102.0
45,22,17259.0
45,23,17979.0
45,24,17660.0
45,25,16873.0
45,26,17210.0
45,27,17740.0
45,28,17505.0
45,29,16853.0
45,30,16898.0
45,31,17595.0
45,32,17075.0
45,33,16541.0
45,34,16950.0
45,35,17402.0
45,36,17351.0
45,37,16622.0
45,38,16786.0
45,39,17509.0
45,40,16999.0
