Product,Period,Value
39,1,5041.0
39,2,4914.0
39,3,4903.0
39,4,4601.0
39,5,4606.0
39,6,4567.0
39,7,4591.0
39,8,4422.0
39,9,4270.0
39,10,4294.0
39,11,4235.0
39,12,3894.0
39,13,4080.0
39,14,3789.0
39,15,3794.0
39,16,3689.0
39,17,3718.0
39,18,3683.0
39,19,3504.0
39,20,3381.0
39,21,3467.0
39,22,3290.0
39,23,3209.0
39,24,3127.0
39,25,2910.0
39,26,2789.0
39,27,2920.0
39,28,2737.0
39,29,2789.0
39,30,2509.0
39,31,2551.0
39,32,2432.0
39,33,2227.0
39,34,2198.0
39,35,2181.0
39,36,2053.0
39,37,1965.0
39,38,1896.0
39,39,1851.0
39,40,1482.0
