Product,Period,Value
37,1,10284.0
37,2,10130.0
37,3,10008.0
37,4,9825.0
37,5,10054.0
37,6,9794.0
37,7,9772.0
37,8,9532.0
37,9,9446.0
37,10,9508.0
37,11,9177.0
37,12,9141.0
37,13,9035.0
37,14,9055.0
37,15,9087.0
37,16,8853.0
37,17,8720.0
37,18,8674.0
37,19,8647.0
37,20,8545.0
37,21,8253.0
37,22,8272.0
37,23,7960.0
37,24,8159.0
37,25,7856.0
37,26,8115.0
37,27,7679.0
37,28,7605.0
37,29,7684.0
37,30,7359.0
37,31,7313.0
37,32,7177.0
37,33,7136.0
37,34,7145.0
37,35,7044.0
37,36,6818.0
37,37,6700.0
37,38,6637.0
37,39,6641.0
37,40,6354.0
