Product,Period,Value
70,1,17028.0
70,2,17100.0
70,3,17147.0
70,4,17167.0
70,5,16944.0
70,6,16914.0
70,7,16966.0
70,8,17136.0
70,9,16990.0
70,10,17177.0
70,11,16947.0
70,12,16902.0
70,13,16967.0
70,14,16924.0
70,15,16946.0
70,16,16814.0
70,17,17035.0
70,18,16957.0
70,19,16867.0
70,20,16828.0
70,21,16986.0
70,22,16942.0
70,23,16875.0
70,24,16926.0
70,25,16736.0
70,26,16898.0
70,27,16697.0
70,28,16810.0
70,29,16677.0
70,30,16750.0
70,31,16783.0
70,32,16528.0
70,33,16832.0
70,34,16894.0
70,35,16756.0
70,36,16581.0
70,37,16622.0
70,38,16591.0
70,39,16579.0
70,40,16595.0
