Product,Period,Value
67,1,17563.0
67,2,17497.0
67,3,17268.0
67,4,17240.0
67,5,17440.0
67,6,17217.0
67,7,17307.0
67,8,17285.0
67,9,17143.0
67,10,17272.0
67,11,17303.0
67,12,17110.0
67,13,16896.0
67,14,17100.0
67,15,17020.0
67,16,16867.0
67,17,16993.0
67,18,16882.0
67,19,16804.0
67,20,16847.0
67,21,16670.0
67,22,16638.0
67,23,16676.0
67,24,16700.0
67,25,16588.0
67,26,16598.0
67,27,16629.0
67,28,16483.0
67,29,16306.0
67,30,16680.0
67,31,16408.0
67,32,16436.0
67,33,16253.0
67,34,16336.0
67,35,16381.0
67,36,16334.0
67,37,16062.0
67,38,16103.0
67,39,16210.0
67,40,16181.0
