Product,Period,Value
97,1,14584.0
97,2,15104.0
97,3,16940.0
97,4,15353.0
97,5,14661.0
97,6,15129.0
97,7,17296.0
97,8,15794.0
97,9,14971.0
97,10,15239.0
97,11,17469.0
97,12,15952.0
97,13,14917.0
97,14,15442.0
97,15,17569.0
97,16,16150.0
97,17,15227.0
97,18,15672.0
97,19,17797.0
97,20,16228.0
97,21,15517.0
97,22,15605.0
97,23,18074.0
97,24,16425.0
97,25,15465.0
97,26,16031.0
97,27,18170.0
97,28,16481.0
97,29,15662.0
97,30,16125.0
97,31,17984.0
97,32,16629.0
97,33,15883.0
97,34,16197.0
97,35,18463.0
97,36,16813.0
97,37,15944.0
97,38,16393.0
97,39,18628.0
97,40,17063.0
