Product,Period,Value
26,1,19493.0
26,2,19448.0
26,3,19623.0
26,4,19443.0
26,5,19445.0
26,6,19639.0
26,7,19319.0
26,8,19526.0
26,9,19531.0
26,10,19467.0
26,11,19387.0
26,12,19521.0
26,13,19424.0
26,14,19568.0
26,15,19739.0
26,16,19648.0
26,17,19786.0
26,18,19345.0
26,19,19498.0
26,20,19632.0
26,21,19497.0
26,22,19527.0
26,23,19455.0
26,24,19569.0
26,25,19548.0
26,26,19621.0
26,27,19463.0
26,28,19400.0
26,29,19513.0
26,30,19758.0
26,31,19503.0
26,32,19423.0
26,33,19418.0
26,34,19503.0
26,35,19371.0
26,36,19484.0
26,37,19531.0
26,38,19461.0
26,39,19639.0
26,40,19522.0
