Product,Period,Value
85,1,13561.0
85,2,13375.0
85,3,13639.0
85,4,13608.0
85,5,13501.0
85,6,13429.0
85,7,13372.0
85,8,13334.0
85,9,13321.0
85,10,13274.0
85,11,13404.0
85,12,13162.0
85,13,13029.0
85,14,12811.0
85,15,13020.0
85,16,12949.0
85,17,13002.0
85,18,12882.0
85,19,12847.0
85,20,12829.0
85,21,12719.0
85,22,12546.0
85,23,12529.0
85,24,12516.0
85,25,12523.0
85,26,12464.0
85,27,12529.0
85,28,12306.0
85,29,12426.0
85,30,12279.0
85,31,12387.0
85,32,12334.0
85,33,12238.0
85,34,12181.0
85,35,12071.0
85,36,11986.0
85,37,12116.0
85,38,11931.0
85,39,11908.0
85,40,12020.0
