Product,Period,Value
24,1,7115.0
24,2,7364.0
24,3,7463.0
24,4,7359.0
24,5,7539.0
24,6,7555.0
24,7,7651.0
24,8,7747.0
24,9,7959.0
24,10,7816.0
24,11,8011.0
24,12,7925.0
24,13,7910.0
24,14,8020.0
24,15,8082.0
24,16,8101.0
24,17,8443.0
24,18,8583.0
24,19,8494.0
24,20,8534.0
24,21,8683.0
24,22,8850.0
24,23,8810.0
24,24,8830.0
24,25,9023.0
24,26,9168.0
24,27,9054.0
24,28,9369.0
24,29,9355.0
24,30,9376.0
24,31,9184.0
24,32,9457.0
24,33,9530.0
24,34,9613.0
24,35,9816.0
24,36,9647.0
24,37,9766.0
24,38,10075.0
24,39,9985.0
24,40,10114.0
