Product,Period,Value
33,1,17349.0
33,2,17446.0
33,3,17316.0
33,4,17309.0
33,5,17469.0
33,6,17422.0
33,7,17379.0
33,8,17374.0
33,9,17576.0
33,10,17535.0
33,11,17698.0
33,12,17462.0
33,13,17678.0
33,14,17566.0
33,15,17630.0
33,16,17671.0
33,17,17803.0
33,18,17810.0
33,19,17939.0
33,20,17915.0
33,21,17857.0
33,22,17896.0
33,23,17844.0
33,24,17929.0
33,25,18004.0
33,26,18007.0
33,27,18126.0
33,28,18207.0
33,29,18126.0
33,30,18278.0
33,31,18232.0
33,32,18104.0
33,33,18079.0
33,34,18224.0
33,35,18234.0
33,36,18337.0
33,37,18318.0
33,38,18406.0
33,39,18511.0
33,40,18483.0
