Product,Period,Value
46,1,16754.0
46,2,16875.0
46,3,16863.0
46,4,17082.0
46,5,17138.0
46,6,17370.0
46,7,17192.0
46,8,17366.0
46,9,17589.0
46,10,17632.0
46,11,17408.0
46,12,17310.0
46,13,17672.0
46,14,17733.0
46,15,17955.0
46,16,17951.0
46,17,17869.0
46,18,18070.0
46,19,17978.0
46,20,17841.0
46,21,18098.0
46,22,18129.0
46,23,18194.0
46,24,18268.0
46,25,18351.0
46,26,18549.0
46,27,18294.0
46,28,18356.0
46,29,18521.0
46,30,18483.0
46,31,18766.0
46,32,18629.0
46,33,18852.0
46,34,19011.0
46,35,18874.0
46,36,18842.0
46,37,19000.0
46,38,19028.0
46,39,19120.0
46,40,19375.0
