Product,Period,Value
64,1,11134.0
64,2,11024.0
64,3,11054.0
64,4,11302.0
64,5,11167.0
64,6,11297.0
64,7,11041.0
64,8,11061.0
64,9,11018.0
64,10,10988.0
64,11,11212.0
64,12,11127.0
64,13,11333.0
64,14,10949.0
64,15,10933.0
64,16,11033.0
64,17,11022.0
64,18,10805.0
64,19,10976.0
64,20,10876.0
64,21,10989.0
64,22,10949.0
64,23,10678.0
64,24,10906.0
64,25,10962.0
64,26,10871.0
64,27,10623.0
64,28,10842.0
64,29,10884.0
64,30,11025.0
64,31,10707.0
64,32,10750.0
64,33,10762.0
64,34,10700.0
64,35,10841.0
64,36,10887.0
64,37,10753.0
64,38,10639.0
64,39,10720.0
64,40,10501.0
