Product,Period,Value
86,1,7848.0
86,2,7904.0
86,3,8035.0
86,4,7776.0
86,5,8039.0
86,6,8089.0
86,7,7937.0
86,8,7748.0
86,9,8061.0
86,10,7943.0
86,11,7917.0
86,12,7867.0
86,13,7783.0
86,14,7747.0
86,15,7945.0
86,16,7864.0
86,17,8033.0
86,18,7829.0
86,19,8050.0
86,20,8104.0
86,21,7861.0
86,22,7907.0
86,23,8055.0
86,24,7903.0
86,25,8128.0
86,26,8067.0
86,27,7984.0
86,28,7812.0
86,29,7967.0
86,30,8032.0
86,31,7877.0
86,32,7966.0
86,33,7822.0
86,34,8022.0
86,35,7998.0
86,36,7725.0
86,37,7676.0
86,38,7893.0
86,39,7846.0
86,40,7890.0
