Product,Period,Value
95,1,6280.0
95,2,6788.0
95,3,5899.0
95,4,6971.0
95,5,6285.0
95,6,6759.0
95,7,5888.0
95,8,6811.0
95,9,6232.0
95,10,6976.0
95,11,6303.0
95,12,6948.0
95,13,6254.0
95,14,6964.0
95,15,5933.0
95,16,6789.0
95,17,6239.0
95,18,6893.0
95,19,5897.0
95,20,6988.0
95,21,6338.0
95,22,6661.0
95,23,5865.0
95,24,6691.0
95,25,6211.0
95,26,6752.0
95,27,5783.0
95,28,7202.0
95,29,6254.0
95,30,6859.0
95,31,5969.0
95,32,6756.0
95,33,6379.0
95,34,6627.0
95,35,5841.0
95,36,6884.0
95,37,6221.0
95,38,6816.0
95,39,6153.0
95,40,7042.0
