Product,Period,Value
73,1,9854.0
73,2,9742.0
73,3,9843.0
73,4,9892.0
73,5,9949.0
73,6,9923.0
73,7,9799.0
73,8,9808.0
73,9,9832.0
73,10,9773.0
73,11,9858.0
73,12,9801.0
73,13,9831.0
73,14,9837.0
73,15,9939.0
73,16,10046.0
73,17,10015.0
73,18,9934.0
73,19,9975.0
73,20,9920.0
73,21,9991.0
73,22,9716.0
73,23,9840.0
73,24,9991.0
73,25,9764.0
73,26,9899.0
73,27,9775.0
73,28,9961.0
73,29,9882.0
73,30,9951.0
73,31,9883.0
73,32,9822.0
73,33,9904.0
73,34,9862.0
73,35,9739.0
73,36,9838.0
73,37,9829.0
73,38,9791.0
73,39,9641.0
73,40,9939.0
