Product,Period,Value
19,1,12455.0
19,2,12421.0
19,3,12287.0
19,4,12096.0
19,5,12125.0
19,6,11931.0
19,7,12026.0
19,8,12002.0
19,9,11601.0
19,10,11850.0
19,11,11738.0
19,12,11445.0
19,13,11581.0
19,14,11255.0
19,15,11423.0
19,16,11362.0
19,17,11214.0
19,18,11325.0
19,19,11061.0
19,20,10911.0
19,21,10845.0
19,22,10643.0
19,23,10430.0
19,24,10467.0
19,25,10576.0
19,26,10456.0
19,27,10423.0
19,28,10372.0
19,29,10261.0
19,30,10271.0
19,31,10017.0
19,32,10058.0
19,33,9807.0
19,34,9818.0
19,35,9813.0
19,36,9846.0
19,37,9612.0
19,38,9576.0
19,39,9433.0
19,40,9394.0
